product_id,title,description,category,brand,price,rating,color,material
P001,Nike Air Zoom Pegasus 40,High-performance running shoes designed for flat feet with extra arch support and breathable mesh. Great for marathons.,Footwear,Nike,4599,4.5,Black,Mesh
P002,MacBook Air M2,Lightweight laptop perfect for coding and creative work. Features 18-hour battery life and silent fanless design.,Electronics,Apple,99900,4.8,Silver,Aluminum
P003,Sony WH-1000XM5,Industry-leading noise cancelling headphones with Alexa built-in. Perfect for focus and travel.,Electronics,Sony,24000,4.7,Black,Plastic
P004,Adidas Ultraboost Light,Responsive running shoes with energy return technology. Suitable for daily jogging and gym workouts.,Footwear,Adidas,5500,4.2,White,Primeknit
P005,Dell XPS 13,Compact and powerful laptop suitable for gaming and programming. High resolution display with infinity edge.,Electronics,Dell,110000,4.3,Grey,Carbon Fiber
P006,Levi's Men's 511 Slim Fit,Classic slim fit jeans made with stretch denim for comfort and durability. Casual wear.,Clothing,Levis,2100,4.1,Blue,Denim
P007,Samsung Galaxy S24,5G smartphone with AI capabilities and high-resolution camera. fast processing for gaming.,Electronics,Samsung,79999,4.6,Black,Glass
P008,Puma Men's T-Shirt,Cotton crew neck t-shirt with moisture-wicking fabric. Ideal for summer and sports.,Clothing,Puma,899,4.0,Red,Cotton
P009,Asus ROG Zephyrus,High-performance gaming laptop with RTX 4060. Handles heavy rendering and AAA games easily.,Electronics,Asus,145000,4.6,Black,Metal
P010,Orthopedic Walking Shoes,Specialized footwear for plantar fasciitis and flat feet. Maximum cushioning and support.,Footwear,OrthoWalk,3500,4.4,Grey,Synthetic
