event_id,user_id,product_id,event_type,query,timestamp,dwell_time_seconds
E00000,U016,P0276,search,"stylish eyeglasses",2025-12-06T11:48:43.976Z,0
E00001,U035,P0299,search,"gold round glasses",2025-12-18T20:22:03.272Z,0
E00002,U021,P0294,search,"gold round glasses",2025-12-18T03:07:44.176Z,0
E00003,U092,P0269,search,"gold round glasses",2025-12-19T06:52:06.096Z,0
E00004,U096,P0121,click,"contact lenses for dry eyes",2025-12-26T08:47:37.097Z,115
E00005,U034,P0071,search,"running sunglasses",2025-12-07T09:46:28.309Z,0
E00006,U016,P0147,search,"gaming glasses",2025-12-19T16:57:15.181Z,0
E00007,U059,P0281,search,"contact lenses for dry eyes",2025-12-10T19:58:49.290Z,0
E00008,U099,P0147,search,"contact lenses for dry eyes",2025-12-17T00:12:56.297Z,0
E00009,U039,P0094,click,"gaming glasses",2025-12-13T22:45:14.412Z,244
E00010,U040,P0065,click,"contact lenses for dry eyes",2025-12-03T10:41:07.756Z,85
E00011,U098,P0112,add_to_cart,"rayban aviators",2025-12-09T12:57:05.601Z,0
E00012,U015,P0199,click,"gaming glasses",2025-12-12T04:23:49.103Z,102
E00013,U049,P0012,click,"black rimless frames",2025-12-26T23:19:11.071Z,273
E00014,U036,P0043,add_to_cart,"stylish eyeglasses",2025-12-07T03:58:43.503Z,0
E00015,U033,P0278,click,"gold round glasses",2025-12-03T12:08:02.815Z,144
E00016,U008,P0226,click,"running sunglasses",2025-12-05T09:39:22.079Z,230
E00017,U053,P0118,add_to_cart,"rayban aviators",2025-12-19T09:25:15.195Z,0
E00018,U065,P0130,search,"stylish eyeglasses",2025-12-01T06:41:58.356Z,0
E00019,U066,P0100,add_to_cart,"vincent chase computer glasses",2025-12-05T09:27:55.942Z,0
E00020,U043,P0259,purchase,"vincent chase computer glasses",2025-12-14T11:14:57.237Z,0
E00021,U069,P0007,purchase,"vincent chase computer glasses",2025-12-13T01:56:48.891Z,0
E00022,U043,P0016,click,"gold round glasses",2025-12-07T13:38:18.417Z,55
E00023,U046,P0027,search,"blue light glasses for coding",2025-12-15T20:59:57.242Z,0
E00024,U085,P0182,search,"stylish eyeglasses",2025-12-24T07:42:25.859Z,0
E00025,U070,P0279,search,"contact lenses for dry eyes",2025-12-26T22:09:37.095Z,0
E00026,U066,P0230,click,"blue light glasses for coding",2025-12-08T04:03:38.752Z,179
E00027,U019,P0252,search,"rayban aviators",2025-12-24T01:13:01.520Z,0
E00028,U062,P0283,click,"running sunglasses",2025-12-25T21:38:18.685Z,262
E00029,U024,P0242,add_to_cart,"black rimless frames",2025-12-25T13:10:56.142Z,0
E00030,U021,P0198,search,"sunglasses for driving",2025-12-12T09:21:44.936Z,0
E00031,U081,P0075,search,"prescription glasses",2025-12-04T02:38:00.234Z,0
E00032,U065,P0233,search,"prescription glasses",2025-12-06T18:42:43.682Z,0
E00033,U036,P0031,search,"sunglasses for driving",2025-12-12T17:53:00.723Z,0
E00034,U078,P0119,search,"black rimless frames",2025-11-30T06:50:58.772Z,0
E00035,U064,P0267,click,"vincent chase computer glasses",2025-12-12T21:33:51.161Z,41
E00036,U075,P0094,click,"prescription glasses",2025-12-09T12:00:09.304Z,37
E00037,U070,P0273,add_to_cart,"running sunglasses",2025-12-14T18:30:31.620Z,0
E00038,U022,P0084,click,"rayban aviators",2025-12-26T12:29:50.042Z,186
E00039,U027,P0160,click,"stylish eyeglasses",2025-12-17T11:23:36.075Z,195
E00040,U008,P0084,add_to_cart,"contact lenses for dry eyes",2025-12-01T02:47:00.405Z,0
E00041,U047,P0274,search,"stylish eyeglasses",2025-12-18T15:43:07.476Z,0
E00042,U075,P0192,purchase,"sunglasses for driving",2025-12-09T12:46:11.842Z,0
E00043,U066,P0012,search,"gaming glasses",2025-12-03T11:03:39.842Z,0
E00044,U066,P0120,click,"stylish eyeglasses",2025-12-09T21:57:05.625Z,238
E00045,U031,P0274,click,"vincent chase computer glasses",2025-12-27T06:04:58.877Z,138
E00046,U011,P0264,search,"prescription glasses",2025-12-25T03:37:30.764Z,0
E00047,U082,P0108,click,"prescription glasses",2025-12-25T21:50:11.723Z,82
E00048,U064,P0085,search,"rayban aviators",2025-12-26T01:38:05.635Z,0
E00049,U056,P0119,search,"contact lenses for dry eyes",2025-12-09T11:10:26.784Z,0
E00050,U100,P0250,search,"contact lenses for dry eyes",2025-11-29T08:10:30.532Z,0
E00051,U007,P0263,search,"blue light glasses for coding",2025-12-01T04:50:57.779Z,0
E00052,U057,P0217,search,"blue light glasses for coding",2025-12-05T04:52:43.214Z,0
E00053,U099,P0079,add_to_cart,"running sunglasses",2025-12-18T17:34:24.411Z,0
E00054,U017,P0050,click,"rayban aviators",2025-12-21T01:49:09.282Z,279
E00055,U067,P0224,purchase,"blue light glasses for coding",2025-12-28T06:04:03.905Z,0
E00056,U049,P0262,click,"contact lenses for dry eyes",2025-12-16T18:51:26.995Z,181
E00057,U035,P0034,search,"stylish eyeglasses",2025-12-19T13:19:06.065Z,0
E00058,U046,P0067,search,"stylish eyeglasses",2025-12-04T17:02:09.390Z,0
E00059,U077,P0024,click,"stylish eyeglasses",2025-12-14T20:32:56.521Z,126
E00060,U017,P0250,click,"gaming glasses",2025-12-05T05:00:17.578Z,291
E00061,U015,P0024,click,"gold round glasses",2025-12-18T07:29:06.591Z,80
E00062,U020,P0045,purchase,"gold round glasses",2025-11-30T14:07:39.195Z,0
E00063,U057,P0244,search,"rayban aviators",2025-11-30T09:18:36.521Z,0
E00064,U039,P0122,search,"gold round glasses",2025-12-24T14:41:16.109Z,0
E00065,U037,P0165,search,"prescription glasses",2025-12-27T03:21:37.350Z,0
E00066,U026,P0040,click,"contact lenses for dry eyes",2025-12-17T12:08:46.690Z,295
E00067,U042,P0002,add_to_cart,"running sunglasses",2025-12-06T04:53:31.886Z,0
E00068,U024,P0150,add_to_cart,"stylish eyeglasses",2025-12-01T20:44:23.985Z,0
E00069,U071,P0116,add_to_cart,"rayban aviators",2025-12-06T00:01:26.553Z,0
E00070,U067,P0050,click,"stylish eyeglasses",2025-12-01T09:58:06.202Z,244
E00071,U030,P0224,add_to_cart,"contact lenses for dry eyes",2025-12-03T03:49:07.541Z,0
E00072,U055,P0270,click,"vincent chase computer glasses",2025-12-07T12:42:31.335Z,272
E00073,U045,P0168,click,"transparent frames",2025-12-26T14:01:28.784Z,222
E00074,U023,P0280,click,"transparent frames",2025-12-02T17:20:49.338Z,80
E00075,U080,P0054,search,"black rimless frames",2025-12-15T13:05:21.588Z,0
E00076,U094,P0137,click,"stylish eyeglasses",2025-12-28T11:51:07.440Z,95
E00077,U085,P0041,click,"running sunglasses",2025-12-16T04:50:29.207Z,138
E00078,U038,P0183,click,"sunglasses for driving",2025-12-23T05:58:46.112Z,185
E00079,U030,P0200,click,"stylish eyeglasses",2025-12-24T09:08:06.693Z,200
E00080,U057,P0205,add_to_cart,"vincent chase computer glasses",2025-12-23T17:11:57.283Z,0
E00081,U085,P0245,add_to_cart,"vincent chase computer glasses",2025-12-12T23:05:22.217Z,0
E00082,U053,P0179,click,"vincent chase computer glasses",2025-12-07T17:07:30.930Z,73
E00083,U038,P0237,click,"sunglasses for driving",2025-12-13T02:16:21.731Z,114
E00084,U065,P0133,search,"prescription glasses",2025-12-03T17:38:16.759Z,0
E00085,U047,P0136,add_to_cart,"running sunglasses",2025-12-17T11:38:36.365Z,0
E00086,U024,P0020,click,"running sunglasses",2025-12-26T07:05:49.028Z,231
E00087,U030,P0158,search,"contact lenses for dry eyes",2025-12-01T08:13:26.693Z,0
E00088,U075,P0297,add_to_cart,"gaming glasses",2025-11-30T15:30:45.817Z,0
E00089,U051,P0203,click,"black rimless frames",2025-12-06T00:05:25.297Z,127
E00090,U094,P0116,click,"prescription glasses",2025-12-15T01:26:20.126Z,177
E00091,U043,P0242,click,"gold round glasses",2025-12-12T01:42:09.573Z,290
E00092,U074,P0209,search,"rayban aviators",2025-12-14T22:54:03.124Z,0
E00093,U013,P0074,search,"vincent chase computer glasses",2025-12-15T08:36:54.601Z,0
E00094,U079,P0165,add_to_cart,"stylish eyeglasses",2025-12-07T10:54:24.768Z,0
E00095,U052,P0271,search,"transparent frames",2025-12-26T21:04:41.381Z,0
E00096,U074,P0111,click,"sunglasses for driving",2025-12-23T18:13:40.933Z,196
E00097,U023,P0214,click,"stylish eyeglasses",2025-12-26T22:11:15.299Z,186
E00098,U048,P0254,click,"stylish eyeglasses",2025-12-22T08:46:06.675Z,202
E00099,U042,P0213,click,"blue light glasses for coding",2025-12-10T21:36:42.248Z,203
E00100,U023,P0127,search,"transparent frames",2025-12-03T13:20:36.529Z,0
E00101,U006,P0120,search,"blue light glasses for coding",2025-12-01T02:08:41.418Z,0
E00102,U009,P0015,search,"rayban aviators",2025-12-16T08:46:38.780Z,0
E00103,U092,P0032,click,"blue light glasses for coding",2025-12-17T20:05:29.310Z,59
E00104,U059,P0042,add_to_cart,"gaming glasses",2025-12-19T15:47:59.141Z,0
E00105,U028,P0177,add_to_cart,"running sunglasses",2025-12-19T13:05:34.975Z,0
E00106,U055,P0051,click,"gaming glasses",2025-12-23T22:45:20.622Z,200
E00107,U017,P0175,click,"contact lenses for dry eyes",2025-12-17T09:25:33.747Z,237
E00108,U029,P0150,click,"sunglasses for driving",2025-12-03T02:42:34.315Z,127
E00109,U019,P0002,search,"rayban aviators",2025-12-01T17:17:57.363Z,0
E00110,U054,P0105,search,"prescription glasses",2025-12-12T14:03:17.005Z,0
E00111,U079,P0282,search,"gold round glasses",2025-12-25T21:55:04.428Z,0
E00112,U027,P0048,purchase,"vincent chase computer glasses",2025-12-17T19:39:26.260Z,0
E00113,U017,P0111,click,"blue light glasses for coding",2025-12-13T14:55:30.040Z,249
E00114,U071,P0048,search,"prescription glasses",2025-12-24T16:04:32.806Z,0
E00115,U039,P0200,search,"black rimless frames",2025-12-26T03:39:42.540Z,0
E00116,U031,P0146,click,"black rimless frames",2025-11-29T04:19:58.858Z,164
E00117,U009,P0034,click,"black rimless frames",2025-12-04T00:01:32.504Z,64
E00118,U066,P0214,search,"transparent frames",2025-12-14T14:19:14.280Z,0
E00119,U015,P0178,click,"stylish eyeglasses",2025-12-24T06:14:46.651Z,243
E00120,U048,P0117,click,"gaming glasses",2025-12-17T03:02:06.586Z,30
E00121,U026,P0268,search,"contact lenses for dry eyes",2025-12-01T07:26:42.378Z,0
E00122,U003,P0104,search,"black rimless frames",2025-12-17T03:16:24.109Z,0
E00123,U003,P0070,click,"blue light glasses for coding",2025-12-20T23:34:55.850Z,87
E00124,U085,P0049,search,"transparent frames",2025-12-05T16:36:18.238Z,0
E00125,U088,P0124,search,"contact lenses for dry eyes",2025-12-16T19:10:17.276Z,0
E00126,U041,P0016,add_to_cart,"black rimless frames",2025-12-12T17:58:41.933Z,0
E00127,U047,P0222,click,"vincent chase computer glasses",2025-11-30T18:16:19.753Z,163
E00128,U080,P0080,search,"sunglasses for driving",2025-12-15T17:14:14.280Z,0
