product_id,title,description,category,brand,price,rating,color,material
P0001,"Bausch & Lomb Stylish Daily Disposables","Daily disposable daily disposables for maximum hygiene and comfort. oxygen permeability.",Contact Lenses,Bausch & Lomb,4280,4.9,Silver,Polycarbonate
P0002,"Titan Trendy Geometric Glasses","Trendy frames that fit perfectly. Great for fashion styling.",Eyeglasses,Titan,4900,3.8,Gold,Polycarbonate
P0003,"Vincent Chase Classic Zero Power Wayfarers","Work comfortably for hours with these zero power wayfarers. Zero power, anti-glare lenses.",Computer Glasses,Vincent Chase,6774,3.1,Blue,Ultem
P0004,"Fastrack Flexible Rimless Glasses","Minimalist rimless glasses crafted from Metal. Designed for daily office wear.",Eyeglasses,Fastrack,9243,3.5,Transparent,Metal
P0005,"Vincent Chase Retro Rimless Glasses","Retro frames that fit perfectly. Great for reading.",Eyeglasses,Vincent Chase,1333,4.9,Gold,Polycarbonate
P0006,"Police Flexible Wayfarers","Classic wayfarers with a Flexible finish. Perfect for sunny days and driving.",Sunglasses,Police,5728,3.0,Black,Stainless Steel
P0007,"Lenskart Blu Stylish Computer Glasses","Work comfortably for hours with these computer glasses. Zero power, anti-glare lenses.",Computer Glasses,Lenskart Blu,2939,3.1,Transparent,Titanium
P0008,"Lenskart Air Classic Cat-Eye Frames","Minimalist cat-eye frames crafted from Stainless Steel. Designed for reading.",Eyeglasses,Lenskart Air,6027,3.4,Transparent,Stainless Steel
P0009,"Ray-Ban Classic Aviators","Classic shades designed for beach vacations. Comes with polarized lenses.",Sunglasses,Ray-Ban,4776,4.7,Silver,Ultem
P0010,"John Jacobs Flexible Rimless Glasses","Flexible frames that fit perfectly. Great for fashion styling.",Eyeglasses,John Jacobs,5116,5.0,Blue,Titanium
P0011,"Aqualens Lightweight Colored Lenses","Daily disposable colored lenses for maximum hygiene and comfort. high water content.",Contact Lenses,Aqualens,1151,3.7,Black,TR90
P0012,"Vincent Chase Durable Rectangular Shades","Make a statement with these Durable Vincent Chase sunglasses. Ideal for outdoor sports.",Sunglasses,Vincent Chase,5784,4.7,Black,TR90
P0013,"Titan Premium Cat-Eye Frames","Minimalist cat-eye frames crafted from Titanium. Designed for screen work.",Eyeglasses,Titan,6438,4.7,Grey,Titanium
P0014,"Fossil Matte Clubmasters","Matte shades designed for fashion statements. Comes with polarized lenses.",Sunglasses,Fossil,4620,3.1,Gold,Acetate
P0015,"Bausch & Lomb Classic Monthly Disposables","Daily disposable monthly disposables for maximum hygiene and comfort. oxygen permeability.",Contact Lenses,Bausch & Lomb,9137,3.3,Gold,Polycarbonate
P0016,"Johnson & Johnson Retro Daily Disposables","Retro contact lenses with UV blocking. Ideal for active lifestyles.",Contact Lenses,Johnson & Johnson,6634,4.2,Black,Metal
P0017,"Oakley Lightweight Cat-Eye Sunglasses","Make a statement with these Lightweight Oakley sunglasses. Ideal for driving.",Sunglasses,Oakley,2300,3.6,Grey,TR90
P0018,"Oakley Retro Cat-Eye Sunglasses","Make a statement with these Retro Oakley sunglasses. Ideal for beach vacations.",Sunglasses,Oakley,3984,3.7,Grey,Polycarbonate
P0019,"Carrera Trendy Cat-Eye Sunglasses","Make a statement with these Trendy Carrera sunglasses. Ideal for driving.",Sunglasses,Carrera,3006,4.8,Transparent,TR90
P0020,"Lenskart Blu Classic Blue Cut Aviators","Block harmful blue light with these Classic blue cut aviators. Reduces eye strain.",Computer Glasses,Lenskart Blu,2451,3.0,Gunmetal,Ultem
P0021,"Alcon Durable Toric Lenses","Durable contact lenses with UV blocking. Ideal for active lifestyles.",Contact Lenses,Alcon,4904,4.4,Silver,Ultem
P0022,"Bausch & Lomb Trendy Daily Disposables","Breathable lenses perfect for sports. Keeps eyes hydrated all day.",Contact Lenses,Bausch & Lomb,2364,3.2,Grey,Acetate
P0023,"Vincent Chase Modern Gaming Glasses","Perfect for binge-watching. These glasses feature blue light filter and a Modern frame.",Computer Glasses,Vincent Chase,2882,5.0,Gunmetal,Acetate
P0024,"John Jacobs Premium Round Frames","Experience all-day comfort with these Premium round frames. Made from lightweight Stainless Steel.",Eyeglasses,John Jacobs,5731,3.5,Silver,Stainless Steel
P0025,"Vincent Chase Matte Rimless Glasses","Experience all-day comfort with these Matte rimless glasses. Made from lightweight Ultem.",Eyeglasses,Vincent Chase,1585,4.9,Gunmetal,Ultem
P0026,"Vincent Chase Modern Zero Power Wayfarers","Perfect for late-night work. These glasses feature shock resistance and a Modern frame.",Computer Glasses,Vincent Chase,5946,3.4,Grey,Metal
P0027,"Lenskart Blu Lightweight Computer Glasses","Perfect for binge-watching. These glasses feature yellow tint and a Lightweight frame.",Computer Glasses,Lenskart Blu,4391,4.2,Rose Gold,Metal
P0028,"Bausch & Lomb Durable Daily Disposables","Daily disposable daily disposables for maximum hygiene and comfort. oxygen permeability.",Contact Lenses,Bausch & Lomb,9973,4.2,Rose Gold,Polycarbonate
P0029,"Ray-Ban Classic Rectangular Shades","Classic rectangular shades with a Classic finish. Perfect for sunny days and driving.",Sunglasses,Ray-Ban,1563,4.2,Transparent,Polycarbonate
P0030,"Carrera Durable Aviators","Classic aviators with a Durable finish. Perfect for sunny days and driving.",Sunglasses,Carrera,1601,4.7,Gunmetal,Polycarbonate
P0031,"Vincent Chase Modern Computer Glasses","Block harmful blue light with these Modern computer glasses. Reduces eye strain.",Computer Glasses,Vincent Chase,5801,3.4,Grey,Metal
P0032,"Titan Matte Geometric Glasses","Experience all-day comfort with these Matte geometric glasses. Made from lightweight Titanium.",Eyeglasses,Titan,7680,4.4,Rose Gold,Titanium
P0033,"Vincent Chase Stylish Blue Cut Aviators","Perfect for late-night work. These glasses feature shock resistance and a Stylish frame.",Computer Glasses,Vincent Chase,3256,3.7,Gunmetal,Polycarbonate
P0034,"Aqualens Flexible Monthly Disposables","Flexible contact lenses with UV blocking. Ideal for active lifestyles.",Contact Lenses,Aqualens,2494,3.2,Gunmetal,Metal
P0035,"Vincent Chase Modern Sports Sunglasses","Make a statement with these Modern Vincent Chase sunglasses. Ideal for fashion statements.",Sunglasses,Vincent Chase,9597,3.1,Grey,Metal
P0036,"Titan Matte Geometric Glasses","Experience all-day comfort with these Matte geometric glasses. Made from lightweight Ultem.",Eyeglasses,Titan,5982,3.1,Silver,Ultem
P0037,"Vincent Chase Durable Zero Power Wayfarers","Block harmful blue light with these Durable zero power wayfarers. Reduces eye strain.",Computer Glasses,Vincent Chase,8651,3.9,Brown,Acetate
P0038,"Vincent Chase Durable Round Frames","Sophisticated round frames for a professional look. Features lightweight design.",Eyeglasses,Vincent Chase,4535,3.9,Gold,Stainless Steel
P0039,"Alcon Trendy Monthly Disposables","Breathable lenses perfect for vision correction. Keeps eyes hydrated all day.",Contact Lenses,Alcon,2702,3.3,Grey,Ultem
P0040,"Lenskart Air Classic Blue Cut Aviators","Block harmful blue light with these Classic blue cut aviators. Reduces eye strain.",Computer Glasses,Lenskart Air,3572,3.9,Gold,TR90
P0041,"Oakley Classic Rectangular Shades","Classic rectangular shades with a Classic finish. Perfect for sunny days and driving.",Sunglasses,Oakley,7362,4.8,Rose Gold,Polycarbonate
P0042,"Vincent Chase Trendy Half-Rim Frames","Trendy frames that fit perfectly. Great for reading.",Eyeglasses,Vincent Chase,4937,3.2,Blue,Metal
P0043,"Lenskart Air Flexible Blue Cut Aviators","Work comfortably for hours with these blue cut aviators. Zero power, anti-glare lenses.",Computer Glasses,Lenskart Air,9497,4.7,Tortoise,TR90
P0044,"Vincent Chase Stylish Aviators","Make a statement with these Stylish Vincent Chase sunglasses. Ideal for fashion statements.",Sunglasses,Vincent Chase,7985,4.6,Rose Gold,TR90
P0045,"Bausch & Lomb Flexible Toric Lenses","Flexible contact lenses with UV blocking. Ideal for active lifestyles.",Contact Lenses,Bausch & Lomb,4320,3.2,Silver,Acetate
P0046,"Titan Matte Rectangular Glasses","Sophisticated rectangular glasses for a professional look. Features lightweight design.",Eyeglasses,Titan,7164,3.5,Tortoise,Titanium
P0047,"Alcon Modern Colored Lenses","Modern contact lenses with UV blocking. Ideal for active lifestyles.",Contact Lenses,Alcon,4574,4.8,Gold,TR90
P0048,"Ray-Ban Lightweight Rectangular Glasses","Sophisticated rectangular glasses for a professional look. Features flexible hinges.",Eyeglasses,Ray-Ban,4247,3.3,Transparent,Titanium
P0049,"CooperVision Premium Toric Lenses","Daily disposable toric lenses for maximum hygiene and comfort. high water content.",Contact Lenses,CooperVision,8750,3.9,Grey,Metal
P0050,"John Jacobs Flexible Gaming Glasses","Block harmful blue light with these Flexible gaming glasses. Reduces eye strain.",Computer Glasses,John Jacobs,1077,4.0,Gold,Ultem
